학원명,카테고리,지번주소,도로명주소,전화번호,위도,경도,거리(km),검색키워드,링크
Kids Splash 안성 스타필드점,"스포츠,레저 > 수영,수상 > 수영장",경기 안성시 공도읍 진사리 354,경기 안성시 공도읍 서동대로 3930-39,031-8092-1313,36.9946332301104,127.147250069616,4.87,수영,http://place.map.kakao.com/1967026078
제이에스중앙발레학원,"교육,학문 > 학원 > 무용학원,발레학원",경기 안성시 석정동 153-13,경기 안성시 중앙로 238-16,031-677-2223,37.0120763917129,127.255134756632,5.0,발레,http://place.map.kakao.com/770247181
용인대라이온태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 470-1,경기 평택시 현신3길 76,031-655-9995,36.99812603292322,127.14265190726823,5.15,태권도,http://place.map.kakao.com/114823416
원도태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 당왕동 534,경기 안성시 고수1로 19,031-674-5421,37.0156782184803,127.257951492184,5.28,태권도,http://place.map.kakao.com/10687907
용인대비룡태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 신소현동 182,경기 안성시 남파로 73-3,,37.0162513385925,127.257935450415,5.29,태권도,http://place.map.kakao.com/15622727
보체초등학교 체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 미양면 보체리 31-5,경기 안성시 미양면 보체길 47,,36.9729210816908,127.23808754139,5.33,체육관,http://place.map.kakao.com/224323695
안성준유도관,"스포츠,레저 > 무예 > 유도 > 유도장",경기 안성시 당왕동 475,경기 안성시 남파로 75,031-673-8205,37.0167486725256,127.258377618434,5.34,유도,http://place.map.kakao.com/338908309
위너태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 옥산동 592,경기 안성시 아양1로 61,070-7856-0019,37.00762402078621,127.25935793330548,5.36,태권도,http://place.map.kakao.com/1301588286
27체육관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 진사리 348,경기 안성시 공도읍 진건중길 39,031-655-2701,36.99212600414243,127.1416667725433,5.44,태권도,http://place.map.kakao.com/9579362
용인대정도태권도,"스포츠,레저 > 무예 > 태권도",경기 안성시 석정동 214-10,경기 안성시 중앙로302번길 17,031-673-0294,37.0098518805089,127.260412688571,5.45,태권도,http://place.map.kakao.com/752386052
개정초등학교 다목적체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 미양면 개정리 304-1,경기 안성시 미양면 미양로 72,,36.9601822363707,127.188540943543,5.54,체육관,http://place.map.kakao.com/1059397245
청설태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 진사리 340-9,경기 안성시 공도읍 진사길 61,031-657-5350,36.989794629988985,127.14113899234286,5.57,태권도,http://place.map.kakao.com/582688582
경희대석사우리아이태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 당왕동 437-2,경기 안성시 남파로 101,,37.0164706924339,127.26146232283,5.6,태권도,http://place.map.kakao.com/409380248
산태권도수련관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 진사리 20-14,경기 안성시 공도읍 진사길 31,031-655-2563,36.99132207251044,127.13952423439241,5.64,태권도,http://place.map.kakao.com/1513524919
우리동네태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 진사리 36-1,경기 안성시 공도읍 진사길 34,0502-5550-0044,36.99112280043,127.138868976784,5.71,태권도,http://place.map.kakao.com/292791215
KTI태권도 양진히어로즈,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 진사리 123-4,경기 안성시 공도읍 진말길 6,031-655-7123,36.98888879240158,127.13982644652576,5.72,태권도,http://place.map.kakao.com/1976824768
라이노 유도관 진사점,"스포츠,레저 > 무예 > 유도 > 유도장",경기 안성시 공도읍 진사리 22-61,경기 안성시 공도읍 진사길 8,,36.9931956317833,127.137803318886,5.72,유도,http://place.map.kakao.com/1938666059
헤르츠바이발레나,"문화,예술 > 미술,공예 > 가죽공예",경기 안성시 공도읍 진사리 123-4,경기 안성시 공도읍 진말길 6,0503-7152-5879,36.9888688852218,127.139897176949,5.72,발레,http://place.map.kakao.com/1723465238
한경국립대학교 체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 석정동 56,경기 안성시 중앙로 327,,37.0102049153054,127.263762206314,5.75,체육관,http://place.map.kakao.com/17570371
청룡종합체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 아양동 270-2,경기 안성시 내혜홀2길 28,,37.0072220989232,127.26387324359,5.77,체육관,http://place.map.kakao.com/1284992520
용인대화랑체육관,"스포츠,레저 > 무예 > 태권도",경기 안성시 당왕동 536,경기 안성시 비룡로 26,031-677-0979,37.0145169759796,127.26479514267,5.87,태권도,http://place.map.kakao.com/229631023
용인대내혜홀태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 아양동 278-5,경기 안성시 내혜홀2길 58,031-671-3716,37.00677977211461,127.26544355358614,5.91,태권도,http://place.map.kakao.com/275684651
최강태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 594-4,경기 평택시 현촌4길 12,031-653-9393,36.999712341099595,127.13299101361855,5.96,태권도,http://place.map.kakao.com/519493857
현촌 무위 태권도장,"교육,학문 > 학원",경기 평택시 용이동 594-3,경기 평택시 현촌4길 10,,36.9995196370633,127.132877210542,5.97,태권도,http://place.map.kakao.com/193510667
대한검도회 후검도관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 평택시 용이동 598-5,경기 평택시 현촌5길 5-20,031-654-6614,36.99763427016113,127.1331480426364,5.99,검도,http://place.map.kakao.com/243849369
대한민국전통무술정도술협회 전통무술정도술수련원,"스포츠,레저 > 무예",경기 안성시 석정동 7,경기 안성시 중앙로367번길 15,010-2605-7957,37.0085962861172,127.26787678397,6.12,무술,http://place.map.kakao.com/783638226
안성수영국민체육센터,"스포츠,레저 > 수영,수상 > 수영장",경기 안성시 금산동 119,경기 안성시 학자로 17,031-677-5500,37.0113795039905,127.268369704653,6.16,체육관,http://place.map.kakao.com/1450936833
수영전기,"서비스,산업 > 에너지 > 전기",경기 안성시 양성면 석화리 82,경기 안성시 양성면 돌꽃지길 66,,37.0652146953816,127.204858237788,6.24,수영,http://place.map.kakao.com/12790139
안성시태권도협회,"사회,공공기관 > 단체,협회",경기 안성시 금산동 137-1,경기 안성시 중앙로367번길 72-6,031-677-3737,37.0107249373234,127.269334825061,6.25,태권도,http://place.map.kakao.com/782839530
용인대청룡태권도&점핑클럽,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 580,경기 평택시 현촌1로 7,010-5798-4674,36.9997404475938,127.12957579422664,6.25,태권도,http://place.map.kakao.com/1548154944
사단법인 경찰경호무도협회,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 안성시 연지동 94,경기 안성시 안성맞춤대로 1092,,37.0107840079277,127.270699088027,6.37,합기도,http://place.map.kakao.com/26357425
안성정도합기도,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 안성시 연지동 94,경기 안성시 안성맞춤대로 1092,,37.0107776824795,127.270706930816,6.37,합기도,http://place.map.kakao.com/951996977
안성유도관,"스포츠,레저 > 무예 > 유도 > 유도장",경기 안성시 연지동 5-1,경기 안성시 금산길 8,,37.0112880434211,127.270948069946,6.39,유도,http://place.map.kakao.com/10589647
더베스트안성태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 금산동 41-1,경기 안성시 금산2길 17,,37.0122963053823,127.271361772463,6.43,태권도,http://place.map.kakao.com/1256179777
정건강활법,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 창전동 368-1,경기 안성시 중앙로400번길 43,031-676-3615,37.0052394696233,127.271182765247,6.43,체육관,http://place.map.kakao.com/10715463
슈퍼아이 태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 소사동 697,경기 평택시 소사3로 22,,36.98839461663542,127.13067083765496,6.5,태권도,http://place.map.kakao.com/1459844553
로켓스매시배드민턴센터,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 계동 91-2,경기 안성시 계동길 85,010-4343-9455,36.9897409887964,127.268365555757,6.53,체육관,http://place.map.kakao.com/496762031
이창경해동검도,"스포츠,레저 > 무예 > 검도 > 검도장",경기 안성시 구포동 13,경기 안성시 혜산로 23,031-675-5335,37.0106407545261,127.273051401007,6.58,검도,http://place.map.kakao.com/2106244567
투셰펜싱클럽,"스포츠,레저 > 수영,수상 > 수상스포츠",경기 평택시 용이동 684-3,경기 평택시 용죽2로 52,,36.9942352902501,127.125802065887,6.71,수영,http://place.map.kakao.com/741700372
스윗발레,"교육,학문 > 학원 > 무용학원,발레학원",경기 평택시 용이동 684-3,경기 평택시 용죽2로 52,031-651-5553,36.9942803347803,127.125811126987,6.71,발레,http://place.map.kakao.com/915191271
안성검도관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 안성시 봉남동 324-3,경기 안성시 중앙로 429-19,031-672-6760,37.0072428699657,127.274578512189,6.72,검도,http://place.map.kakao.com/10582204
비전히어로즈태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 684-2,경기 평택시 용죽2로 50,010-2655-7123,36.9942030357178,127.125627891626,6.73,태권도,http://place.map.kakao.com/1416303816
청호태권도줄넘기,"스포츠,레저 > 무예 > 태권도",경기 평택시 죽백동 816,경기 평택시 죽백4로 40,031-653-1210,37.00284495695539,127.12339063671229,6.75,태권도,http://place.map.kakao.com/182017671
고려승화체육관 점핑클럽,"스포츠,레저 > 스포츠시설",경기 평택시 용이동 685-1,경기 평택시 용죽3로 22,031-654-4480,36.99384543841843,127.12550261082711,6.75,체육관,http://place.map.kakao.com/280026344
국가대표줄넘기태권도,"교육,학문 > 학원",경기 평택시 용이동 688-4,경기 평택시 용죽3로 17,,36.9932898543675,127.125138856279,6.79,태권도,http://place.map.kakao.com/449236624
KHC동광태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 중리동 616-1,경기 안성시 서운로 791-11,031-671-1102,36.9806789430533,127.26670626682,6.8,태권도,http://place.map.kakao.com/17019657
합기도용무체육관,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 평택시 용이동 688-2,경기 평택시 용죽3로 21,0503-7152-2776,36.9935675270548,127.125006755586,6.8,합기도,http://place.map.kakao.com/451263101
단국대라이온태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 689-2,경기 평택시 용죽2로 36,031-658-8899,36.9937954108937,127.124234259518,6.86,태권도,http://place.map.kakao.com/1374935252
아이푸른어린이수영장 평택용죽점,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",경기 평택시 용이동 652,경기 평택시 용죽2로 30,031-651-8182,36.9933490166071,127.123714545917,6.91,수영,http://place.map.kakao.com/699590164
아이짐유소년 스포츠센터,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 652,경기 평택시 용죽2로 30,010-4089-6017,36.99326793099598,127.12370318109568,6.92,태권도,http://place.map.kakao.com/1772275991
용죽VTA태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 652,경기 평택시 용죽2로 30,,36.9933490868176,127.123647145054,6.92,태권도,http://place.map.kakao.com/1328590389
발레그랑핏스튜디오,"교육,학문 > 학원 > 무용학원,발레학원",경기 안성시 봉산동 390-5,경기 안성시 장기로 133,031-8057-8227,37.004670566964116,127.27755892958467,7.0,발레,http://place.map.kakao.com/1067427380
푸르른태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 882,경기 평택시 동부공원로 36,0502-5553-1053,36.9932573904111,127.118127986445,7.4,태권도,http://place.map.kakao.com/1864278070
용인대 비전태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 876,경기 평택시 평남로 737,031-658-5573,36.995184470438645,127.11572469413949,7.56,태권도,http://place.map.kakao.com/18121843
샤인 트레이닝 박스,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 비전동 1095,경기 평택시 비전2로 216,070-7579-4556,37.0022540743088,127.114159164678,7.57,체육관,http://place.map.kakao.com/1513167695
라이온태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 합정동 866-4,경기 평택시 중앙로 300,031-618-0076,36.9905562948421,127.115943467214,7.66,태권도,http://place.map.kakao.com/11082856
JNS유도체육관 평택점,"스포츠,레저 > 무예 > 유도",경기 평택시 비전동 1092,경기 평택시 비전2로 200,010-5601-8555,37.0012668257844,127.112864579065,7.7,유도,http://place.map.kakao.com/1738951406
합기도검무관,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 평택시 비전동 872-6,경기 평택시 문화촌로 5,031-657-0933,36.9965212675309,127.11334736624984,7.74,합기도,http://place.map.kakao.com/25894042
전태식다이어트복싱체육관,"스포츠,레저 > 복싱,권투 > 복싱,권투장",경기 평택시 비전동 872-6,경기 평택시 문화촌로 5,031-657-8833,36.9965059502239,127.11334622012,7.74,체육관,http://place.map.kakao.com/18231851
오션차일드 평택비전센터,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",경기 평택시 비전동 830-2,경기 평택시 경기대로 271,031-654-8775,36.9949963242134,127.112728370746,7.82,수영,http://place.map.kakao.com/26901417
수영건설,"서비스,산업 > 건설,건축 > 종합건설사",경기 평택시 칠원동 205,경기 평택시 신촌로 117,031-655-5565,37.02486240641595,127.11201728268762,7.91,수영,http://place.map.kakao.com/1349242409
경희대 강현태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 832-6,경기 평택시 평택5로 100,010-2679-1118,36.9947990632607,127.111694578212,7.92,태권도,http://place.map.kakao.com/26023446
용인대홍익태권도 2관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 가사동 175,경기 안성시 비봉로 35,010-2714-6735,37.0111712159784,127.288405165958,7.94,태권도,http://place.map.kakao.com/1018044454
단국대이화태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 1037-6,경기 평택시 비전9길 12-5,031-691-4222,37.0030209000409,127.109368617704,7.99,태권도,http://place.map.kakao.com/1666324643
오션차일드 평택 소사벌센터,"스포츠,레저 > 수영,수상 > 수영장",경기 평택시 비전동 59-8,경기 평택시 비전4로 142,,37.008715804679,127.107315014616,8.14,수영,http://place.map.kakao.com/322437529
한나발레핏,"교육,학문 > 학원 > 무용학원,발레학원",경기 평택시 비전동 923,경기 평택시 평남로 674,010-5346-9428,36.9928781378688,127.109564157781,8.15,발레,http://place.map.kakao.com/650572959
송종국축구교실,"스포츠,레저 > 축구",경기 평택시 비전동 59-8,경기 평택시 비전4로 142,031-654-2050,37.00872681755933,127.10709368561743,8.16,축구교실,http://place.map.kakao.com/1563770626
덕동초등학교 도담마루,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 비전동 814,경기 평택시 매봉산1길 5,,36.9972068114786,127.107734721459,8.21,체육관,http://place.map.kakao.com/352362311
용인대아이누리태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 217-4,경기 평택시 평남로 659,031-657-6144,36.9927401878691,127.107686857388,8.31,태권도,http://place.map.kakao.com/1034888261
드림킥태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 1070,경기 평택시 비전3로 36,,37.0029791792972,127.105689123422,8.31,태권도,http://place.map.kakao.com/26504260
소사벌레포츠타운 청소년체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 합정동 392,경기 평택시 평남로 616,,36.9888041819158,127.108756290472,8.33,체육관,http://place.map.kakao.com/17579499
평택고등학교 체육관,"교육,학문 > 학교부속시설",경기 평택시 합정동 368-11,경기 평택시 중앙로 246,,36.9897381140789,127.108308301436,8.34,체육관,http://place.map.kakao.com/10872683
경희TOP점핑줄넘기센터,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 비전동 1013-1,경기 평택시 평남로 929,031-657-5761,37.00372387396715,127.10523738278489,8.35,체육관,http://place.map.kakao.com/517690596
경희대강찬태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 1013,경기 평택시 평남로 933,,37.004061227958,127.104842373173,8.38,태권도,http://place.map.kakao.com/1473648820
뮤직점프,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 비전동 1013,경기 평택시 평남로 933,010-5186-0786,37.0040612279723,127.104842373173,8.38,체육관,http://place.map.kakao.com/784428650
태권나르샤,"스포츠,레저 > 무예 > 태권도",경기 평택시 비전동 1027-3,경기 평택시 비전3로 25,031-652-3339,37.0023618796106,127.104738926328,8.4,태권도,http://place.map.kakao.com/1463252413
소사벌레포츠타운 수영장,"스포츠,레저 > 수영,수상 > 수영장",경기 평택시 합정동 365,경기 평택시 평남로 616,031-8024-3360,36.988967135369,127.107925291313,8.4,수영,http://place.map.kakao.com/11586002
모이라이카페 시립수영장점,음식점 > 카페,경기 평택시 합정동 392,경기 평택시 평남로 616,,36.9888770066799,127.107947629659,8.4,수영,http://place.map.kakao.com/820558095
한국해동검도 정무본관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 평택시 비전동 1012-3,경기 평택시 평남로 937,,37.0043318680805,127.104484344682,8.41,검도,http://place.map.kakao.com/769365208
슈에뜨발레무용학원,"교육,학문 > 학원 > 무용학원,발레학원",경기 평택시 비전동 1012-2,경기 평택시 평남로 941,031-655-0666,37.0046168760753,127.104181385514,8.43,발레,http://place.map.kakao.com/27497710
무봉킥복싱체육관,"스포츠,레저 > 무예 > 격투기 > 무에타이",경기 평택시 비전동 764-11,경기 평택시 중앙로 209,,36.9911926229509,127.106135619984,8.49,체육관,http://place.map.kakao.com/1683760767
권의성태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 합정동 776-1,경기 평택시 조개터로42번길 66,031-657-1576,36.9900047833596,127.106372109288,8.5,태권도,http://place.map.kakao.com/92073096
스윗로얄발레학원,"교육,학문 > 학원 > 무용학원,발레학원",경기 평택시 동삭동 849-2,경기 평택시 상서재로2길 56-10,031-658-2224,37.015253756239495,127.10358013165093,8.5,발레,http://place.map.kakao.com/291100689
MTA태권도 평택1호점,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 비전동 1015,경기 평택시 만세로 1845,,37.0041058626458,127.10326502913318,8.52,태권도,http://place.map.kakao.com/1722876435
평무관 합기도,"교육,학문 > 학원",경기 평택시 비전동 763-9,경기 평택시 중앙로 193,,36.99155458101156,127.10441631476604,8.63,합기도,http://place.map.kakao.com/428178153
대한검도회평택검도관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 평택시 비전동 259-4,경기 평택시 평택4로 83,031-656-7963,36.995366009656095,127.10147490100192,8.8,검도,http://place.map.kakao.com/15565402
정현모태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 동삭동 711-16,경기 평택시 평남로 1010,,37.0093715381415,127.099324995866,8.85,태권도,http://place.map.kakao.com/1024704902
평택파이널체대입시,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 비전동 761,경기 평택시 평택4로 52,031-691-7710,36.9923746526512,127.101195709591,8.89,체육관,http://place.map.kakao.com/1926774708
라이언 스포츠,"스포츠,레저 > 축구",경기 평택시 칠괴동 588-2,경기 평택시 동삭로 455,,37.0265314963712,127.099558615089,9.03,축구교실,http://place.map.kakao.com/13048903
평택정도관,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 평택시 동삭동 708-11,경기 평택시 비전2로 31,010-4480-3443,37.0069957063876,127.096757962072,9.08,합기도,http://place.map.kakao.com/1432803033
